
 LIST ALL SELECTED NODES.   DSYS=      0

    NODE        X             Y             Z           THXY     THYZ     THZX
      263   22932.        56.768        0.0000          0.00     0.00     0.00
      264   22935.        56.694        0.0000          0.00     0.00     0.00
      265   22938.        56.620        0.0000          0.00     0.00     0.00
      266   22941.        56.546        0.0000          0.00     0.00     0.00
      267   22944.        56.472        0.0000          0.00     0.00     0.00
      268   22947.        56.397        0.0000          0.00     0.00     0.00
      269   22950.        56.323        0.0000          0.00     0.00     0.00
      301   20722.        41.500        15.700          0.00     0.00     0.00
      302   20772.        51.900        15.700          0.00     0.00     0.00
      303   20790.        55.943        15.700          0.00     0.00     0.00
      304   20808.        60.146        15.700          0.00     0.00     0.00
      305   20826.        64.507        15.700          0.00     0.00     0.00
      306   20844.        69.027        15.700          0.00     0.00     0.00
      307   20862.        73.706        15.700          0.00     0.00     0.00
      308   20880.        78.543        15.700          0.00     0.00     0.00
      309   20898.        83.539        15.700          0.00     0.00     0.00
      310   20916.        88.694        15.700          0.00     0.00     0.00
      311   20934.        94.008        15.700          0.00     0.00     0.00

    NODE        X             Y             Z           THXY     THYZ     THZX
      312   20952.        99.480        15.700          0.00     0.00     0.00
      313   20970.        105.11        15.700          0.00     0.00     0.00
      314   20988.        110.90        15.700          0.00     0.00     0.00
      315   21006.        116.85        15.700          0.00     0.00     0.00
      316   21024.        122.96        15.700          0.00     0.00     0.00
      317   21042.        129.22        15.700          0.00     0.00     0.00
      318   21060.        135.65        15.700          0.00     0.00     0.00
      319   21078.        142.23        15.700          0.00     0.00     0.00
      320   21096.        148.98        15.700          0.00     0.00     0.00
      321   21114.        155.88        15.700          0.00     0.00     0.00
      322   21132.        162.94        15.700          0.00     0.00     0.00
      323   21150.        170.16        15.700          0.00     0.00     0.00
      324   21168.        177.53        15.700          0.00     0.00     0.00
      325   21186.        185.07        15.700          0.00     0.00     0.00
      326   21204.        192.76        15.700          0.00     0.00     0.00
      327   21222.        200.62        15.700          0.00     0.00     0.00
      328   21240.        208.63        15.700          0.00     0.00     0.00
      329   21258.        216.80        15.700          0.00     0.00     0.00
      330   21276.        225.13        15.700          0.00     0.00     0.00
      331   21300.        236.49        15.700          0.00     0.00     0.00

    NODE        X             Y             Z           THXY     THYZ     THZX
      332   21324.        227.03        15.700          0.00     0.00     0.00
      333   21342.        220.11        15.700          0.00     0.00     0.00
      334   21360.        213.36        15.700          0.00     0.00     0.00
      335   21378.        206.76        15.700          0.00     0.00     0.00
      336   21396.        200.32        15.700          0.00     0.00     0.00
      337   21414.        194.04        15.700          0.00     0.00     0.00
      338   21432.        187.91        15.700          0.00     0.00     0.00
      339   21450.        181.94        15.700          0.00     0.00     0.00
      340   21468.        176.13        15.700          0.00     0.00     0.00
      341   21486.        170.47        15.700          0.00     0.00     0.00
      342   21504.        164.97        15.700          0.00     0.00     0.00
      343   21522.        159.63        15.700          0.00     0.00     0.00
      344   21540.        154.45        15.700          0.00     0.00     0.00
      345   21558.        149.42        15.700          0.00     0.00     0.00
      346   21576.        144.55        15.700          0.00     0.00     0.00
      347   21594.        139.84        15.700          0.00     0.00     0.00
      348   21612.        135.28        15.700          0.00     0.00     0.00
      349   21630.        130.89        15.700          0.00     0.00     0.00
      350   21648.        126.64        15.700          0.00     0.00     0.00
      351   21666.        122.56        15.700          0.00     0.00     0.00

    NODE        X             Y             Z           THXY     THYZ     THZX
      352   21684.        118.63        15.700          0.00     0.00     0.00
      353   21702.        114.86        15.700          0.00     0.00     0.00
      354   21720.        111.25        15.700          0.00     0.00     0.00
      355   21738.        107.79        15.700          0.00     0.00     0.00
      356   21756.        104.49        15.700          0.00     0.00     0.00
      357   21774.        101.35        15.700          0.00     0.00     0.00
      358   21792.        98.368        15.700          0.00     0.00     0.00
      359   21810.        95.541        15.700          0.00     0.00     0.00
      360   21828.        92.870        15.700          0.00     0.00     0.00
      361   21846.        90.357        15.700          0.00     0.00     0.00
      362   21864.        88.000        15.700          0.00     0.00     0.00
      363   21882.        85.801        15.700          0.00     0.00     0.00
      364   21900.        83.759        15.700          0.00     0.00     0.00
      365   21918.        81.874        15.700          0.00     0.00     0.00
      366   21936.        80.146        15.700          0.00     0.00     0.00
      367   21954.        78.575        15.700          0.00     0.00     0.00
      368   21972.        77.161        15.700          0.00     0.00     0.00
      369   21990.        75.904        15.700          0.00     0.00     0.00
      370   22008.        74.805        15.700          0.00     0.00     0.00
      371   22026.        73.862        15.700          0.00     0.00     0.00

    NODE        X             Y             Z           THXY     THYZ     THZX
      372   22044.        73.077        15.700          0.00     0.00     0.00
      373   22062.        72.448        15.700          0.00     0.00     0.00
      374   22080.        71.977        15.700          0.00     0.00     0.00
      375   22098.        71.663        15.700          0.00     0.00     0.00
      376   22116.        71.506        15.700          0.00     0.00     0.00
      377   22134.        71.506        15.700          0.00     0.00     0.00
      378   22152.        71.663        15.700          0.00     0.00     0.00
      379   22170.        71.977        15.700          0.00     0.00     0.00
      380   22188.        72.448        15.700          0.00     0.00     0.00
      381   22206.        73.077        15.700          0.00     0.00     0.00
      382   22224.        73.862        15.700          0.00     0.00     0.00
      383   22242.        74.805        15.700          0.00     0.00     0.00
      384   22260.        75.904        15.700          0.00     0.00     0.00
      385   22278.        77.161        15.700          0.00     0.00     0.00
      386   22296.        78.575        15.700          0.00     0.00     0.00
      387   22314.        80.146        15.700          0.00     0.00     0.00
      388   22332.        81.874        15.700          0.00     0.00     0.00
      389   22350.        83.759        15.700          0.00     0.00     0.00
      390   22368.        85.801        15.700          0.00     0.00     0.00
      391   22386.        88.000        15.700          0.00     0.00     0.00

    NODE        X             Y             Z           THXY     THYZ     THZX
      392   22404.        90.357        15.700          0.00     0.00     0.00
      393   22422.        92.870        15.700          0.00     0.00     0.00
      394   22440.        95.541        15.700          0.00     0.00     0.00
      395   22458.        98.368        15.700          0.00     0.00     0.00
      396   22476.        101.35        15.700          0.00     0.00     0.00
      397   22494.        104.49        15.700          0.00     0.00     0.00
      398   22512.        107.79        15.700          0.00     0.00     0.00
      399   22530.        111.25        15.700          0.00     0.00     0.00
      400   22548.        114.86        15.700          0.00     0.00     0.00
      401   22566.        118.63        15.700          0.00     0.00     0.00
      402   22584.        122.56        15.700          0.00     0.00     0.00
      403   22602.        126.64        15.700          0.00     0.00     0.00
      404   22620.        130.89        15.700          0.00     0.00     0.00
      405   22638.        135.28        15.700          0.00     0.00     0.00
      406   22656.        139.84        15.700          0.00     0.00     0.00
      407   22674.        144.55        15.700          0.00     0.00     0.00
      408   22692.        149.42        15.700          0.00     0.00     0.00
      409   22710.        154.45        15.700          0.00     0.00     0.00
      410   22728.        159.63        15.700          0.00     0.00     0.00
      411   22746.        164.97        15.700          0.00     0.00     0.00

    NODE        X             Y             Z           THXY     THYZ     THZX
      412   22764.        170.47        15.700          0.00     0.00     0.00
      413   22782.        176.13        15.700          0.00     0.00     0.00
      414   22800.        181.94        15.700          0.00     0.00     0.00
      415   22818.        187.91        15.700          0.00     0.00     0.00
      416   22836.        194.04        15.700          0.00     0.00     0.00
      417   22854.        200.32        15.700          0.00     0.00     0.00
      418   22872.        206.76        15.700          0.00     0.00     0.00
      419   22890.        213.36        15.700          0.00     0.00     0.00
      420   22908.        220.11        15.700          0.00     0.00     0.00
      421   22926.        227.03        15.700          0.00     0.00     0.00
      422   22950.        236.49        15.700          0.00     0.00     0.00
      423   23435.        45.500        15.700          0.00     0.00     0.00
      424   20722.        41.500       -15.700          0.00     0.00     0.00
      425   20772.        51.900       -15.700          0.00     0.00     0.00
      426   20790.        55.943       -15.700          0.00     0.00     0.00
      427   20808.        60.146       -15.700          0.00     0.00     0.00
      428   20826.        64.507       -15.700          0.00     0.00     0.00
      429   20844.        69.027       -15.700          0.00     0.00     0.00
      430   20862.        73.706       -15.700          0.00     0.00     0.00
      431   20880.        78.543       -15.700          0.00     0.00     0.00

